2023-09-15 00:26:24.858 INFO  [main] com.ziluxike.springboottemplate.SpringbootTemplateApplication - Starting SpringbootTemplateApplication using Java 1.8.0_345 on mbp with PID 8188 (/Users/ziluxike/Nextcloud_/project/springboot-template/target/classes started by ziluxike in /Users/ziluxike/Nextcloud_/project/springboot-template)
2023-09-15 00:26:24.860 INFO  [main] com.ziluxike.springboottemplate.SpringbootTemplateApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-15 00:26:25.600 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-09-15 00:26:25.602 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-09-15 00:26:25.626 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2023-09-15 00:26:26.286 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 6007 (http)
2023-09-15 00:26:26.294 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-6007"]
2023-09-15 00:26:26.294 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-09-15 00:26:26.295 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-09-15 00:26:26.387 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-09-15 00:26:26.388 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1481 ms
2023-09-15 00:26:27.370 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-6007"]
2023-09-15 00:26:27.390 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 6007 (http) with context path ''
2023-09-15 00:26:27.404 INFO  [main] com.ziluxike.springboottemplate.SpringbootTemplateApplication - Started SpringbootTemplateApplication in 2.936 seconds (JVM running for 3.837)
